
========================================================================
RUN STARTED  2026-06-17 00:44:25
site_pipeline.py https://diraq.com/
========================================================================

[00:44:25 +0s | diraq] === 0 crawl site ===
[00:44:28 +2s | diraq] [INIT].... → Crawl4AI 0.8.6 
[00:44:45 +17s | diraq] [COMPLETE] ● https://www.diraq.com/research-papers/entangling...degenerate-spin-qubits-dressed-by-a-global-field  | ✓ | ⏱: 5.86s 
[00:44:45 +17s | diraq] [FETCH]... ↓ https://www.diraq.com/newsdesk?category=TECHNICAL+BLOG                                               | ✓ | ⏱: 5.93s 
[00:44:45 +17s | diraq] [SCRAPE].. ◆ https://www.diraq.com/newsdesk?category=TECHNICAL+BLOG                                               | ✓ | ⏱: 0.08s 
[00:44:45 +17s | diraq] [COMPLETE] ● https://www.diraq.com/newsdesk?category=TECHNICAL+BLOG                                               | ✓ | ⏱: 6.04s 
[00:44:45 +17s | diraq] [FETCH]... ↓ https://www.diraq.com/research-papers/category/NATURE+PHYSICS                                        | ✓ | ⏱: 6.15s 
[00:44:46 +17s | diraq] [SCRAPE].. ◆ https://www.diraq.com/research-papers/category/NATURE+PHYSICS                                        | ✓ | ⏱: 0.03s 
[00:44:46 +17s | diraq] [COMPLETE] ● https://www.diraq.com/research-papers/category/NATURE+PHYSICS                                        | ✓ | ⏱: 6.21s 
[00:44:46 +18s | diraq] [FETCH]... ↓ https://www.diraq.com/research-papers/bounds-to-...ubit-variability-for-scalable-cmos-architectures  | ✓ | ⏱: 6.39s 
[00:44:46 +18s | diraq] [SCRAPE].. ◆ https://www.diraq.com/research-papers/bounds-to-...ubit-variability-for-scalable-cmos-architectures  | ✓ | ⏱: 0.04s 
[00:44:46 +18s | diraq] [COMPLETE] ● https://www.diraq.com/research-papers/bounds-to-...ubit-variability-for-scalable-cmos-architectures  | ✓ | ⏱: 6.47s 
[00:44:46 +18s | diraq] [FETCH]... ↓ https://www.diraq.com/newsdesk?sort=alphabetical_desc                                                | ✓ | ⏱: 7.03s 
[00:44:46 +18s | diraq] [SCRAPE].. ◆ https://www.diraq.com/newsdesk?sort=alphabetical_desc                                                | ✓ | ⏱: 0.11s 
[00:44:47 +18s | diraq] [COMPLETE] ● https://www.diraq.com/newsdesk?sort=alphabetical_desc                                                | ✓ | ⏱: 7.18s 
[00:44:47 +19s | diraq] [FETCH]... ↓ https://www.diraq.com/newsdesk?sort=date_asc                                                         | ✓ | ⏱: 7.23s 
[00:44:47 +19s | diraq] [SCRAPE].. ◆ https://www.diraq.com/newsdesk?sort=date_asc                                                         | ✓ | ⏱: 0.11s 
[00:44:47 +19s | diraq] [COMPLETE] ● https://www.diraq.com/newsdesk?sort=date_asc                                                         | ✓ | ⏱: 7.38s 
[00:44:47 +19s | diraq] [FETCH]... ↓ https://www.diraq.com/newsdesk?sort=date_desc                                                        | ✓ | ⏱: 7.50s 
[00:44:47 +19s | diraq] [SCRAPE].. ◆ https://www.diraq.com/newsdesk?sort=date_desc                                                        | ✓ | ⏱: 0.11s 
[00:44:47 +19s | diraq] [COMPLETE] ● https://www.diraq.com/newsdesk?sort=date_desc                                                        | ✓ | ⏱: 7.64s 
[00:44:47 +19s | diraq] [FETCH]... ↓ https://www.diraq.com/research-papers/navigating...in-donor-qudit-with-electric-and-magnetic-fields  | ✓ | ⏱: 6.84s 
[00:44:47 +19s | diraq] [SCRAPE].. ◆ https://www.diraq.com/research-papers/navigating...in-donor-qudit-with-electric-and-magnetic-fields  | ✓ | ⏱: 0.04s 
[00:44:47 +19s | diraq] [COMPLETE] ● https://www.diraq.com/research-papers/navigating...in-donor-qudit-with-electric-and-magnetic-fields  | ✓ | ⏱: 6.91s 
[00:44:47 +19s | diraq] [FETCH]... ↓ https://www.diraq.com/research-papers/on-demand-electrical-control-of-spin-qubits-7j9hw-3mgma        | ✓ | ⏱: 5.57s 
[00:44:47 +19s | diraq] [SCRAPE].. ◆ https://www.diraq.com/research-papers/on-demand-electrical-control-of-spin-qubits-7j9hw-3mgma        | ✓ | ⏱: 0.04s 
